Tanggal,Komentator,Komentar,jumlahlike
2024-10-17T13:10:53Z,@korompot14channel69,2025,0
2024-10-16T09:25:46Z,@bumibulat,arsip nasional,0
2024-10-14T16:01:31Z,@muhamadrahmatramadhani7947,wkwk kangen vibesnya sih kalo virusnya mah amit amit jangan dateng lagi deh,0
2024-10-10T03:58:12Z,@bagusekosw1573,"dulu kata2 viral netizen indonesia &quot;Ah Indonesia mah gak mempan, orang makanan jatoh aja dibilang blom 5 menit&quot; .... setelah menyebar 🤐",0
2024-10-05T14:40:30Z,@meilanyfinaramaidha366,Bapakku korban virus itu,0
2024-10-05T10:48:46Z,@kurumizawa-eji,kangen pls 😢,0
2024-10-10T04:01:13Z,@bagusekosw1573,"klo gw sih  gak kangen ya, masa mau lagi ada virus korona wkkw",0
2024-09-29T04:32:24Z,@boyspmanurung1688,Lamanya diagnosa pada warga depok.. lebih kurang 3 minggu. Lama sekaliiiii,0
2024-09-28T06:52:45Z,@abdifirdaus777,Gw nonton di tahun 2024😢,1
2024-09-27T07:42:33Z,@alfarowilson26,P,0
2024-09-27T03:58:36Z,@panjinugroho-zr8cr,Nostalgia😀,0
2024-09-15T13:51:01Z,@fandimuhammad6484,2024 mana nich 😂😂😂,2
2024-09-15T02:39:27Z,@YudhaNakMeleTup,"cukup dikenang,tidak untuk di ulang",0
2024-09-07T23:39:03Z,@rickzoom6208,Dah 4 tahun lho..serasa baru bgt kmrn nikmatin jalanan sepi kendaraan,0
2024-09-06T09:53:43Z,@mikeee1163,Kamu ngapain dari 2024 kesini lagi?,0
2024-09-02T15:51:38Z,@maulanasabrian2909,Haii syaa dari masa depan🙋,0
2024-09-02T01:11:24Z,@shinn4355,dua beban,0
2024-09-01T23:33:57Z,@Spikezzz_memer,😢,0
2024-08-17T05:47:35Z,@Kleptohams,Mau kembali 2020 kangen jaman² ga ada kata² alay lebay insecure lah masih bahagia di tahun itu knp ya kaya nya gabisa diulang lagi waktunya siapa pun tolong bawa aku kembali kesana🙁🥺💔💔😭😭😭,3
2024-08-11T19:46:48Z,@ripalmaulana2851,halo saya dari masa depan,1
2024-08-11T12:14:20Z,@Maulidiann_,P,0
2024-08-05T10:56:46Z,@choirirohmadefendi5600,🗿,0
2024-08-05T03:04:43Z,@DimasRohin,cuma gw yg dadi 2024😢,0
2024-08-04T05:08:30Z,@silokilaibramasta8924,Login,0
2024-07-31T23:57:12Z,@h3h3boy_,libur pak,0
2024-07-31T10:51:02Z,@fiella124,"Kalian hebatt❤🎉,bisa selamat dari corona😊",2
2024-07-29T05:28:43Z,@HanifInfor,😢😢,0
2024-07-27T23:53:04Z,@FendiAditya-k5n,Tumben pada liat berita di YouTube,0
2024-07-27T17:04:05Z,@uvisriwidyanazzala8667,Sampai sekarang masih kepo 2 org depok tu siapa,1
2024-08-23T09:44:09Z,@tete-bw3kd,"Tau nih, biang kerok nya, berimbas kemana2",0
2024-07-24T14:11:23Z,@HefiXzyonk21,"gak kerasa ya udah 4 tahun yang lalu, sejarah yang tidak akan pernah dilupakan",5
2024-07-21T05:02:05Z,@Zakiarista,😅,0
2024-07-19T15:40:07Z,@NFS199,halo minn,0
2024-07-17T10:20:51Z,@rafelgg2045,Kangen pas 2020🙁🙁,2
2024-07-14T06:10:18Z,@FlanJk,Awal mula 100rb nyawa meninggal,3
2024-07-13T05:34:01Z,@RIDOH-GAMING,Saya selamat dari Corona 2020 😢😢,3
2024-07-12T10:11:19Z,@MuhamadFirmaan,Senghay kmi dri masa depan kami sedang rindu masa ini tapi tidak dengan masa kami,2
2024-07-12T05:47:20Z,@gilangkusnandar9637,Ga kerasa udah 4 tahun dulu pas covid masih sd sekarang ga nyangka udah sma aja,1
2024-07-23T17:38:18Z,@Seseorangywd,Sama 😅,0
2024-07-12T04:51:12Z,@yaziadityas6084,Nyimak,0
2024-07-07T19:48:04Z,@AndiAlif-ry2kv,Jadi rindu libur 2 Minggu 😂,2
2024-07-05T02:46:55Z,@08fadhillahbagasseptianto77,4 tahun yang lalu,1
2024-06-27T22:17:38Z,@Nijanhamdun,Kangen banget😢😢,2
2024-06-27T04:19:52Z,@nsjdh143,"saya dan kita adalah bagian dari sejarah dunia yg tidak terlupakan kita semua adalah orang orang yang beruntung, betapa kelamnya tahun tersebut banyak orang orang yang meninggal, banyak orang orang yang bersedih karena ditinggal orang tersayangnya",3
2024-06-27T04:17:45Z,@nsjdh143,😢😮😅😅😅,0
2024-06-26T01:56:09Z,@rakasukma1083,hallo saya dari 2024,0
2024-06-25T09:05:09Z,@PEPEK-GTG,🙃🙂,0
2024-06-12T18:48:08Z,@ixora_4447,mungkin berbahaya tapi percayalah covid 19 adalah hal yang tidak dapat dilupakan 🙂,1
2024-06-07T03:58:57Z,@fikfik400,"ternyata 4thn yg lalu ya , banyak bangettt kenangan bersama teman dan banyak juga teman online hehe",2
2024-06-03T03:38:26Z,@azizahrizkihestis4797,ternyata udah 4thn yang lalu ya🥲,0
2024-05-29T11:40:03Z,@GTX.Founders_EdiTion,2024?,0
2024-05-28T16:19:16Z,@rickyhalim6283,"yang kena covid pertama, orangnya meninggal gak ya",0
2024-06-18T12:52:51Z,@tete-bw3kd,"Entahlah, harusnya mereka jangan balik dulu ke Indonesia ya..",0
2024-05-26T13:33:27Z,@Vrhnlf,"Pengen balik ke tahun 2020 😣😭😭, kangen!!!, datang membawa duka pergi meninggalkan kenangan 🥲",1
2024-05-26T09:46:56Z,@IKYYY1945,Kangen😢😢,0
2024-05-26T13:32:01Z,@Vrhnlf,Iya loh 😭 sedih,1
2024-05-23T15:20:26Z,@chikotzy6685,Awal&quot; kecanduan dirumah terus,1
2024-05-23T13:21:47Z,@uchihasasuke2961,Jadi nostalgia,0
2024-05-23T11:26:18Z,@fajrimahardhika8277,Amit&quot; dah kalau harus balik lagi ke jaman tersebut,0
2024-05-22T15:55:36Z,@magungsyahrullah7238,2024 hadir,0
2024-05-19T13:32:54Z,@ibnu9805,Woyyyyyyyyyyyyyyyy,0
2024-05-19T08:40:40Z,@adilhilsyam361,"😢lemon tree,",0
2024-05-19T08:40:40Z,@adilhilsyam361,"😢lemon tree,",0
2024-05-19T08:40:38Z,@adilhilsyam361,"😢lemon tree,",0
2024-05-19T04:56:00Z,@Merry_Christ.666,Depok emang selalu WHY🦅,0
2024-05-17T12:01:46Z,@DimasRio-rw2ig,Alhamdulillah kita bisa melewati ini semua semoga tidak akan terulang lagi dengan kasus yang sama😁,1
2024-05-17T02:39:10Z,@AkunEpep-qg3ff,Kok kangen ya,0
2024-05-16T12:05:37Z,@irawati5728,Salam dari masa depan😂,0
2024-05-15T03:58:44Z,@aldrinpagewang7392,Dari masa depan,0
2024-05-12T05:04:22Z,@AlfianAlfian-l9p,GK kerasa udh 4thn aja🙃,0
2024-05-11T03:40:35Z,@RickyYuda-jn7xm,Gw dari 2024,0
2024-05-08T10:26:20Z,@WarbenB,Hallo libur panjang 2020-2022,1
2024-05-05T04:33:10Z,@Dzaki8613,"Kangen jaman itu. 3 bulan dirumah aja cuma nonton tv, YouTube dll. Dan alhamdulillah di gaji full ama perusahaan. Asli enak bgt saat itu.",0
2024-05-03T14:33:56Z,@nasipadangsiangsore3711,4 tahun yang lalu,0
2024-05-02T19:49:33Z,@derzul,damn,0
2024-05-01T15:47:52Z,@ilhamsujadi7179,Sekarang masih ada gk sih berita kaya gini 😔😔😔,0
2024-05-01T10:30:43Z,@Addin-h8o,awalnya sih libur 2 minggu...,0
2024-04-30T09:30:08Z,@Imaseee859,Nostalgia 😢😢😢,1
2024-04-26T14:36:04Z,@KINGKENZOOO,udah 4 taun ajaa😢,1
2024-04-19T16:17:41Z,@gempalaofficial2036,"😢 flashback banget cuk, dimana gw di pulangkan dari pondok, rasa nya kayak lagi gawat darurat banget saat itu, padahal bentar lagi puasa, kangen masa masa temen online ga sombong, nonton tiktok setiap saat karna ga bisa beraktivitas, tiap hari nya ga bole keluar dari rumah, kangen banget masa nya bukan virus nya, terima berkat cobaan buat kita seluruh dunia, gw khususnya levih dewasa jalani hidup 🎉, selamat buat kita sudah lepat dari Corona......",3
