,Komentar,jumlahlike,tanggal,waktu,komentator,Sentiment
0,2025,0.0,2024-10-17,13:10:53,korompot14channel69,neutral
1,arsip nasional,0.0,2024-10-16,09:25:46,bumibulat,neutral
2,wkwk kangen vibesnya sih kalo virusnya mah amit amit jangan dateng lagi deh,0.0,2024-10-14,16:01:31,muhamadrahmatramadhani7947,negative
3,dulu kata2 viral netizen indonesia quot ah indonesia mah gak mempan orang makanan jatoh aja dibilang blom 5 menit quot setelah menyebar,0.0,2024-10-10,03:58:12,bagusekosw1573,negative
4,bapakku korban virus itu,0.0,2024-10-05,14:40:30,meilanyfinaramaidha366,negative
5,kangen pls,0.0,2024-10-05,10:48:46,kurumizawa-eji,negative
6,klo gw sih gak kangen ya masa mau lagi ada virus korona wkkw,0.0,2024-10-10,04:01:13,bagusekosw1573,negative
7,lamanya diagnosa pada warga depok lebih kurang 3 minggu lama sekaliiiii,0.0,2024-09-29,04:32:24,boyspmanurung1688,negative
8,gw nonton di tahun 2024,1.0,2024-09-28,06:52:45,abdifirdaus777,neutral
9,p,0.0,2024-09-27,07:42:33,alfarowilson26,positive
10,nostalgia,0.0,2024-09-27,03:58:36,panjinugroho-zr8cr,neutral
11,2024 mana nich,2.0,2024-09-15,13:51:01,fandimuhammad6484,neutral
12,cukup dikenang tidak untuk di ulang,0.0,2024-09-15,02:39:27,YudhaNakMeleTup,positive
13,dah 4 tahun lho serasa baru bgt kmrn nikmatin jalanan sepi kendaraan,0.0,2024-09-07,23:39:03,rickzoom6208,neutral
14,kamu ngapain dari 2024 kesini lagi,0.0,2024-09-06,09:53:43,mikeee1163,neutral
15,haii syaa dari masa depan,0.0,2024-09-02,15:51:38,maulanasabrian2909,positive
16,dua beban,0.0,2024-09-02,01:11:24,shinn4355,neutral
17,,0.0,2024-09-01,23:33:57,Spikezzz_memer,positive
18,mau kembali 2020 kangen jaman ga ada kata alay lebay insecure lah masih bahagia di tahun itu knp ya kaya nya gabisa diulang lagi waktunya siapa pun tolong bawa aku kembali kesana,3.0,2024-08-17,05:47:35,Kleptohams,negative
19,halo saya dari masa depan,1.0,2024-08-11,19:46:48,ripalmaulana2851,neutral
20,p,0.0,2024-08-11,12:14:20,Maulidiann_,positive
